bin,lo,hi,n,pred_mean,obs_freq
0,0.0,0.1,0,,
1,0.1,0.2,36,0.1791422137315324,0.08333333333333333
2,0.2,0.30000000000000004,471,0.26696534716471526,0.1592356687898089
3,0.30000000000000004,0.4,1274,0.34980597085643206,0.2990580847723705
4,0.4,0.5,596,0.43725120826263186,0.4110738255033557
5,0.5,0.6000000000000001,98,0.5344486186836519,0.4489795918367347
6,0.6000000000000001,0.7000000000000001,12,0.6357123409324976,0.8333333333333334
7,0.7000000000000001,0.8,1,0.7113612420596002,1.0
8,0.8,0.9,0,,
9,0.9,1.0,0,,
