features,n_features,logloss_mean,logloss_std,delta_vs_full,within_tolerance
['team_avg_gls_f_v'],1,1.8519093854271538,0.009927593966215427,0.006559777114144794,False
['team_avg_xg_f'],1,1.8516642874652796,0.008300015157220304,0.006314679152270575,False
['team_avg_xg_c'],1,1.8693204236562622,0.01777975146960366,0.023970815343253182,False
['opp_avg_xg_c'],1,1.864129228853774,0.010372456132892246,0.018779620540765096,False
['game_week_normalised'],1,1.8535762482465912,0.014002443700874006,0.008226639933582192,False
"['team_avg_gls_f_v', 'team_avg_xg_f']",2,1.8533079106311114,0.007796503978115164,0.007958302318102461,False
"['team_avg_gls_f_v', 'team_avg_xg_c']",2,1.8628287814905728,0.013007316650458987,0.017479173177563867,False
"['team_avg_gls_f_v', 'opp_avg_xg_c']",2,1.8570816828478733,0.009516158626769048,0.011732074534864356,False
"['team_avg_gls_f_v', 'game_week_normalised']",2,1.853953839688091,0.008505078622017303,0.008604231375082039,False
"['team_avg_xg_f', 'team_avg_xg_c']",2,1.8620932398210122,0.008087884569047715,0.016743631508003176,False
"['team_avg_xg_f', 'opp_avg_xg_c']",2,1.855294269367367,0.008578974813946084,0.009944661054358095,False
"['team_avg_xg_f', 'game_week_normalised']",2,1.8518994676545273,0.00778150387888701,0.006549859341518305,False
"['team_avg_xg_c', 'opp_avg_xg_c']",2,1.8541403589240673,0.012522597970483175,0.008790750611058273,False
"['team_avg_xg_c', 'game_week_normalised']",2,1.8707030467713306,0.017272969527993374,0.02535343845832161,False
"['opp_avg_xg_c', 'game_week_normalised']",2,1.8633857062996448,0.010849242378649482,0.018036097986635857,False
"['team_avg_gls_f_v', 'team_avg_xg_f', 'team_avg_xg_c']",3,1.8603565275717933,0.008038736828224768,0.01500691925878428,False
"['team_avg_gls_f_v', 'team_avg_xg_f', 'opp_avg_xg_c']",3,1.8538227238839533,0.011241067253206338,0.008473115570944323,False
"['team_avg_gls_f_v', 'team_avg_xg_f', 'game_week_normalised']",3,1.8530329875768683,0.007852923572280384,0.0076833792638593135,False
"['team_avg_gls_f_v', 'team_avg_xg_c', 'opp_avg_xg_c']",3,1.8501424904696975,0.010074214253699535,0.004792882156688494,False
"['team_avg_gls_f_v', 'team_avg_xg_c', 'game_week_normalised']",3,1.8631112563777095,0.01309089617345335,0.017761648064700486,False
"['team_avg_gls_f_v', 'opp_avg_xg_c', 'game_week_normalised']",3,1.8565753668722351,0.00844452403299947,0.01122575855922614,False
"['team_avg_xg_f', 'team_avg_xg_c', 'opp_avg_xg_c']",3,1.8499803608977885,0.003622555387963002,0.004630752584779518,False
"['team_avg_xg_f', 'team_avg_xg_c', 'game_week_normalised']",3,1.8608043515936088,0.00843260242573014,0.015454743280599814,False
"['team_avg_xg_f', 'opp_avg_xg_c', 'game_week_normalised']",3,1.8546595915587438,0.0076930580449172045,0.009309983245734843,False
"['team_avg_xg_c', 'opp_avg_xg_c', 'game_week_normalised']",3,1.8540802213084278,0.01289558272738478,0.008730612995418774,False
"['team_avg_gls_f_v', 'team_avg_xg_f', 'team_avg_xg_c', 'opp_avg_xg_c']",4,1.848666652868578,0.0070666028149995504,0.0033170445555690264,False
"['team_avg_gls_f_v', 'team_avg_xg_f', 'team_avg_xg_c', 'game_week_normalised']",4,1.858530384704872,0.009456640966453917,0.013180776391862992,False
"['team_avg_gls_f_v', 'team_avg_xg_f', 'opp_avg_xg_c', 'game_week_normalised']",4,1.8534815827903994,0.009374936987927214,0.008131974477390447,False
"['team_avg_gls_f_v', 'team_avg_xg_c', 'opp_avg_xg_c', 'game_week_normalised']",4,1.848850118850534,0.010263430152142188,0.003500510537524981,False
"['team_avg_xg_f', 'team_avg_xg_c', 'opp_avg_xg_c', 'game_week_normalised']",4,1.8496772065022635,0.0027703531255383698,0.0043275981892545445,False
"['team_avg_gls_f_v', 'team_avg_xg_f', 'team_avg_xg_c', 'opp_avg_xg_c', 'game_week_normalised']",5,1.8483850446974224,0.005837012490158432,0.0030354363844133925,False
