,0
is_home,0.049853954
team_avg_xg_f,0.04663829
opp_avg_xg_c,0.04323463
team_avg_xg_f_v,0.039525647
team_avg_xg_c,0.030956257
team_avg_gls_f,0.030019242
opp_avg_xg_c_v,0.028339004
opp_avg_xg_f,0.027054599
opp_promoted_flag,0.010669884
team_promoted_flag,0.010295067
team_avg_xg_c_v,0.009240496
opp_relegated_flag,0.008980532
opp_avg_gls_c,0.008599547
opp_avg_xg_f_v,0.0075062746
game_week_normalised,0.0065320563
team_relegated_flag,0.0064431257
league_avg_vgf,0.0056800256
league,0.0056501026
team_avg_gls_c,0.005532241
is_crowds,0.0038903658
opp_avg_gls_f,0.0028490727
opp_avg_gls_f_v,0.002808338
team_avg_gls_c_v,0.0024458172
league_avg_vgc,0.0015813233
team_avg_gls_f_v,0.00052500813
opp_avg_gls_c_v,0.00018583519
