L,ALPHA,fold_loglosses_json,logloss_mean,logloss_std
5,0.0,"{""2019/2020"": 1.8258595926360959, ""2020/2021"": 1.845184868449324, ""2021/2022"": 1.8506336348342813, ""2022/2023"": 1.851013368231625, ""2023/2024"": 1.8507270642156277}",1.844683705673391,0.01080031091403846
5,0.02,"{""2019/2020"": 1.8276309909471542, ""2020/2021"": 1.8451608549642369, ""2021/2022"": 1.8509796568731032, ""2022/2023"": 1.8513887762063703, ""2023/2024"": 1.850546729508714}",1.8451414016999155,0.010111223263923547
5,0.05,"{""2019/2020"": 1.8281250063665975, ""2020/2021"": 1.8445419618355123, ""2021/2022"": 1.8508972855987584, ""2022/2023"": 1.8519557024032802, ""2023/2024"": 1.8509895377314685}",1.8453018987871235,0.010044324644944732
5,0.1,"{""2019/2020"": 1.8297107007115745, ""2020/2021"": 1.844974210507875, ""2021/2022"": 1.850663561257365, ""2022/2023"": 1.8516913594514308, ""2023/2024"": 1.8514713082387666}",1.8457022280334023,0.00935448775347665
5,0.15,"{""2019/2020"": 1.8308015794592438, ""2020/2021"": 1.8456367852791415, ""2021/2022"": 1.850253011345615, ""2022/2023"": 1.8516901633070255, ""2023/2024"": 1.851342457229184}",1.845944799324042,0.008805063734951121
5,0.2,"{""2019/2020"": 1.8300827796759211, ""2020/2021"": 1.8459894186146721, ""2021/2022"": 1.8492472879556803, ""2022/2023"": 1.8522329660574592, ""2023/2024"": 1.852067218521379}",1.8459239341650222,0.009213237355585692
5,0.25,"{""2019/2020"": 1.831011469383769, ""2020/2021"": 1.8465887027795849, ""2021/2022"": 1.8486981485521956, ""2022/2023"": 1.852308772690809, ""2023/2024"": 1.85212227508818}",1.8461458736989076,0.008795724757596515
5,0.35,"{""2019/2020"": 1.8313576229073767, ""2020/2021"": 1.8464747843666816, ""2021/2022"": 1.8489425865590685, ""2022/2023"": 1.851907389904525, ""2023/2024"": 1.8538182052424883}",1.8465001177960283,0.008917040462273236
5,0.5,"{""2019/2020"": 1.832141323631663, ""2020/2021"": 1.8456564034649208, ""2021/2022"": 1.8492754527817887, ""2022/2023"": 1.8524294140644648, ""2023/2024"": 1.8548615617255468}",1.8468728311336768,0.008929796059756683
10,0.0,"{""2019/2020"": 1.8277382843239551, ""2020/2021"": 1.8461333012417038, ""2021/2022"": 1.8480450867185263, ""2022/2023"": 1.8482433197127703, ""2023/2024"": 1.848319159962446}",1.8436958303918805,0.00896598302879054
10,0.02,"{""2019/2020"": 1.8268934546229982, ""2020/2021"": 1.84537123270978, ""2021/2022"": 1.847722553361874, ""2022/2023"": 1.8482147936507285, ""2023/2024"": 1.8481699138478214}",1.8432743896386405,0.009231626244136265
10,0.05,"{""2019/2020"": 1.8268940045219528, ""2020/2021"": 1.8446702028958022, ""2021/2022"": 1.848043433782766, ""2022/2023"": 1.8491356347644936, ""2023/2024"": 1.8479601548631153}",1.8433406861656259,0.009344753973289927
10,0.1,"{""2019/2020"": 1.8278610548960328, ""2020/2021"": 1.8441578178273692, ""2021/2022"": 1.8486937052417982, ""2022/2023"": 1.8491206938545681, ""2023/2024"": 1.8482623191637797}",1.8436191181967096,0.009030294013736949
10,0.15,"{""2019/2020"": 1.829105056175878, ""2020/2021"": 1.843638056486208, ""2021/2022"": 1.8483787544252543, ""2022/2023"": 1.849808793936634, ""2023/2024"": 1.848196317687553}",1.8438253957423054,0.008549306709417082
10,0.2,"{""2019/2020"": 1.8287122605900739, ""2020/2021"": 1.844846855374573, ""2021/2022"": 1.8492812960595801, ""2022/2023"": 1.8495301843270362, ""2023/2024"": 1.8478788833736235}",1.8440498959449774,0.008774116127148254
10,0.25,"{""2019/2020"": 1.8301918463251259, ""2020/2021"": 1.8451275766280448, ""2021/2022"": 1.85044619940571, ""2022/2023"": 1.8504534391902439, ""2023/2024"": 1.848018132277505}",1.844847438765326,0.008480735902857224
10,0.35,"{""2019/2020"": 1.8315786003641976, ""2020/2021"": 1.8455004428946982, ""2021/2022"": 1.849768780797576, ""2022/2023"": 1.850809150579748, ""2023/2024"": 1.850314612751462}",1.8455943174775364,0.008114045760373837
10,0.5,"{""2019/2020"": 1.8326678159186003, ""2020/2021"": 1.8465816675721065, ""2021/2022"": 1.848620928807379, ""2022/2023"": 1.8527951803672456, ""2023/2024"": 1.8532154544060353}",1.8467762094142732,0.008369281489367202
15,0.0,"{""2019/2020"": 1.825174086486845, ""2020/2021"": 1.8458963295752215, ""2021/2022"": 1.846119675608799, ""2022/2023"": 1.8479274589661434, ""2023/2024"": 1.8448844796840917}",1.8420004060642203,0.00946994547042721
15,0.02,"{""2019/2020"": 1.8248734216400826, ""2020/2021"": 1.845947658805209, ""2021/2022"": 1.846425749260729, ""2022/2023"": 1.8486708892413046, ""2023/2024"": 1.8440665453154772}",1.8419968528525605,0.009711620309808872
15,0.05,"{""2019/2020"": 1.8240597498476558, ""2020/2021"": 1.8452194426629516, ""2021/2022"": 1.8462458146399776, ""2022/2023"": 1.8494250870011577, ""2023/2024"": 1.8443986080951644}",1.8418697404493813,0.010137119025665999
15,0.1,"{""2019/2020"": 1.8244408907775458, ""2020/2021"": 1.8449709186127539, ""2021/2022"": 1.8463707069951305, ""2022/2023"": 1.8489313111027448, ""2023/2024"": 1.844629511466314}",1.841868667790898,0.00988841389121302
15,0.15,"{""2019/2020"": 1.8259527736241068, ""2020/2021"": 1.8454091220720628, ""2021/2022"": 1.8467697474143303, ""2022/2023"": 1.8494994618152965, ""2023/2024"": 1.8452852688495205}",1.8425832747550637,0.00945013161007754
15,0.2,"{""2019/2020"": 1.8274132965046606, ""2020/2021"": 1.845112859894786, ""2021/2022"": 1.8474112380403167, ""2022/2023"": 1.848942689523758, ""2023/2024"": 1.846145590816081}",1.8430051349559204,0.008832874565424519
15,0.25,"{""2019/2020"": 1.827532643333498, ""2020/2021"": 1.844800592790747, ""2021/2022"": 1.848942755008722, ""2022/2023"": 1.84984901090837, ""2023/2024"": 1.8476127252421244}",1.8437475454566923,0.009262689367480743
15,0.35,"{""2019/2020"": 1.8297601776723862, ""2020/2021"": 1.8452340616712724, ""2021/2022"": 1.8492469983955484, ""2022/2023"": 1.850663531557607, ""2023/2024"": 1.8498352827253308}",1.8449480104044291,0.008743368901096426
15,0.5,"{""2019/2020"": 1.832387679155123, ""2020/2021"": 1.8468337137033906, ""2021/2022"": 1.8489019613996198, ""2022/2023"": 1.852237176040734, ""2023/2024"": 1.8526295313283607}",1.8465980123254457,0.008298745299409334
20,0.0,"{""2019/2020"": 1.8268289365132084, ""2020/2021"": 1.845228108094879, ""2021/2022"": 1.844631879877356, ""2022/2023"": 1.8470518295025131, ""2023/2024"": 1.8436260792742278}",1.841473366652437,0.008280806763172626
20,0.02,"{""2019/2020"": 1.8259072422642528, ""2020/2021"": 1.8452849295827365, ""2021/2022"": 1.8446151531711685, ""2022/2023"": 1.84804119741436, ""2023/2024"": 1.843846001893323}",1.8415389048651682,0.008880419269187895
20,0.05,"{""2019/2020"": 1.8258822842977307, ""2020/2021"": 1.8444928610184879, ""2021/2022"": 1.8453772701653819, ""2022/2023"": 1.8485551704931356, ""2023/2024"": 1.8433517154303825}",1.8415318602810236,0.008959669219662163
20,0.1,"{""2019/2020"": 1.8227783818922285, ""2020/2021"": 1.8432649628304507, ""2021/2022"": 1.846113836357603, ""2022/2023"": 1.8481888932189612, ""2023/2024"": 1.8435002607609225}",1.840769267012033,0.010258826034306832
20,0.15,"{""2019/2020"": 1.8254196468905026, ""2020/2021"": 1.8442785642061048, ""2021/2022"": 1.84606886851605, ""2022/2023"": 1.8489849366258992, ""2023/2024"": 1.8444885855651196}",1.8418481203607353,0.0093744695281453
