start,block,params_json,fold_loglosses_json,logloss_mean,logloss_std
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 100, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8240835900055508, ""2020/2021"": 1.8497362451246568, ""2021/2022"": 1.8479813047690874, ""2022/2023"": 1.8512737973689037, ""2023/2024"": 1.8536700801218777}",1.8453490034780153,0.012069985591027274
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 100, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8253133845539993, ""2020/2021"": 1.8467673933700184, ""2021/2022"": 1.8461246536135276, ""2022/2023"": 1.8495296538413568, ""2023/2024"": 1.8477201568752772}",1.843091048450836,0.010020577454130025
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8284746684940694, ""2020/2021"": 1.8435136979201945, ""2021/2022"": 1.8450722963732653, ""2022/2023"": 1.8497355419851536, ""2023/2024"": 1.8434727222772482}",1.8420537854099863,0.00801027363924666
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.831693410365126, ""2020/2021"": 1.8439720086789062, ""2021/2022"": 1.8453442373133193, ""2022/2023"": 1.8514140752549904, ""2023/2024"": 1.8432076408085958}",1.8431262744841874,0.007159596174012213
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 100, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8351604784974167, ""2020/2021"": 1.849341128548182, ""2021/2022"": 1.8468123014022588, ""2022/2023"": 1.8543952196571967, ""2023/2024"": 1.845394103083147}",1.84622064623764,0.007069681752102835
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 200, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8252401149809463, ""2020/2021"": 1.8467142077578607, ""2021/2022"": 1.8460762338605776, ""2022/2023"": 1.8493870238452712, ""2023/2024"": 1.8476715459774913}",1.8430178252844294,0.010016085770394265
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 200, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.827550598572222, ""2020/2021"": 1.8436650076663261, ""2021/2022"": 1.8447252928984696, ""2022/2023"": 1.849223121584233, ""2023/2024"": 1.8442274485191164}",1.8418782938480736,0.008307310393883332
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 200, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8316038002260533, ""2020/2021"": 1.8434587868308745, ""2021/2022"": 1.8458589943144823, ""2022/2023"": 1.8526134959390024, ""2023/2024"": 1.843431852713188}",1.84339338600472,0.007584354641722719
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8361410195071781, ""2020/2021"": 1.8477312828500128, ""2021/2022"": 1.8472239042750211, ""2022/2023"": 1.8543825849631257, ""2023/2024"": 1.8451044625926216}",1.8461166508375917,0.006570701240383066
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 200, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8494110405970472, ""2020/2021"": 1.8531464741403547, ""2021/2022"": 1.8547091534396907, ""2022/2023"": 1.8606947976643906, ""2023/2024"": 1.8499766934054758}",1.8535876318493916,0.004540017281314831
